particle,energy_GeV,N_ch,N_sim,Edep_GeV
photon,1.2,6,3,42.911515625
photon,1.2,6,4,42.7310703125
photon,1.2,7,0,43.72479296875
photon,1.2,7,1,44.10804296875
photon,1.2,7,2,42.9204140625
photon,1.2,7,3,42.567109375
photon,1.2,7,4,44.0058828125
photon,1.5,0,0,53.4088125
photon,1.5,0,1,52.25522265625
photon,1.5,0,2,52.78034375
photon,1.5,0,3,51.58696875
photon,1.5,0,4,51.53828125
photon,1.5,1,0,51.3046640625
photon,1.5,1,1,51.52383203125
photon,1.5,1,2,51.77039453125
photon,1.5,1,3,52.656984375
photon,1.5,1,4,52.01015625
photon,1.5,2,0,51.56540234375
photon,1.5,2,1,50.58355078125
photon,1.5,2,2,51.76491015625
photon,1.5,2,3,51.23046484375
photon,1.5,2,4,51.8597265625
photon,1.5,6,0,51.8024453125
photon,1.5,6,1,51.628609375
photon,1.5,6,2,50.49724609375
photon,1.5,6,3,52.54338671875
photon,1.5,6,4,51.9229140625
photon,1.5,7,0,51.4086640625
photon,1.5,7,1,52.0251015625
photon,1.5,7,2,51.25508984375
photon,1.5,7,3,51.81790234375
photon,1.5,7,4,51.60040625
photon,1.7,0,0,57.52715625
photon,1.7,0,1,58.0240625
photon,1.7,0,2,57.85265625
photon,1.7,0,3,57.59421875
photon,1.7,0,4,56.9220546875
photon,1.7,1,0,57.327875
photon,1.7,1,1,57.5422421875
photon,1.7,1,2,57.29528125
photon,1.7,1,3,56.213921875
photon,1.7,1,4,57.53108203125
photon,1.7,2,0,56.76734765625
photon,1.7,2,1,56.86376171875
photon,1.7,2,2,56.2900703125
photon,1.7,2,3,57.4777890625
photon,1.7,2,4,57.36430078125
photon,1.7,6,0,56.73795703125
photon,1.7,6,1,57.12679296875
photon,1.7,6,2,56.5353828125
photon,1.7,6,3,57.975296875
photon,1.7,6,4,57.154328125
photon,1.7,7,0,57.10959765625
photon,1.7,7,1,58.17034375
photon,1.7,7,2,57.617234375
photon,1.7,7,3,56.8421640625
photon,1.7,7,4,56.76434765625
photon,2.0,0,0,63.99267578125
photon,2.0,0,1,65.28283203125
photon,2.0,0,2,64.86130078125
photon,2.0,0,3,66.766
photon,2.0,0,4,64.86050390625
photon,2.0,1,0,64.9117265625
photon,2.0,1,1,65.611421875
photon,2.0,1,2,64.60465234375
photon,2.0,1,3,65.0792890625
photon,2.0,1,4,65.952390625
photon,2.0,2,0,65.29926171875
photon,2.0,2,1,64.39233203125
photon,2.0,2,2,63.42569921875
photon,2.0,2,3,65.15303125
photon,2.0,2,4,66.293546875
photon,2.0,6,0,64.3740703125
photon,2.0,6,1,65.0093359375
photon,2.0,6,2,64.6839609375
photon,2.0,6,3,65.71140625
photon,2.0,6,4,65.0805390625
photon,2.0,7,0,63.77496875
photon,2.0,7,1,64.72505859375
photon,2.0,7,2,65.13685546875
photon,2.0,7,3,65.24563671875
photon,2.0,7,4,65.7767890625
photon,2.5,0,0,78.226296875
photon,2.5,0,1,77.9565390625
photon,2.5,0,2,77.1170234375
photon,2.5,0,3,79.6775234375
photon,2.5,0,4,78.33709375
photon,2.5,1,0,77.299671875
photon,2.5,1,1,79.615546875
photon,2.5,1,2,77.31353125
photon,2.5,1,3,78.1010625
photon,2.5,1,4,78.505640625
photon,2.5,2,0,78.043671875
photon,2.5,2,1,78.7745
photon,2.5,2,2,77.6474375
photon,2.5,2,3,78.00115625
photon,2.5,2,4,77.04975
photon,2.5,6,0,76.791890625
photon,2.5,6,1,77.7354375
photon,2.5,6,2,78.407921875
photon,2.5,6,3,78.6482265625
photon,2.5,6,4,78.771296875
photon,2.5,7,0,76.58384375
photon,2.5,7,1,76.69984375
photon,2.5,7,2,79.2326640625
photon,2.5,7,3,78.340203125
photon,2.5,7,4,77.613734375
photon,3.0,0,0,90.5595
photon,3.0,0,1,89.5883203125
photon,3.0,0,2,89.569296875
photon,3.0,0,3,91.3588828125
photon,3.0,0,4,91.63234375
photon,3.0,1,0,89.674734375
photon,3.0,1,1,90.5838359375
photon,3.0,1,2,91.0648671875
photon,3.0,1,3,90.103734375
photon,3.0,1,4,89.818875
photon,3.0,2,0,90.643453125
photon,3.0,2,1,90.452484375
photon,3.0,2,2,89.0288203125
photon,3.0,2,3,90.692390625
photon,3.0,2,4,89.68215625
photon,3.0,6,0,90.44425
photon,3.0,6,1,89.1418359375
photon,3.0,6,2,90.03421875
photon,3.0,6,3,89.81146875
photon,3.0,6,4,89.911828125
photon,3.0,7,0,88.8031796875
photon,3.0,7,1,90.5897734375
photon,3.0,7,2,90.6525078125
photon,3.0,7,3,90.861484375
photon,3.0,7,4,89.827921875
